C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1452	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'RobotOS'. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1452	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'Robots'. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1879	[INFO] ResetAddInData status =0.
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 849	[INFO] Update prodinfo.xml. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 969	[INFO] File C:/Users/grazianige/Documents/GitHub/universo/Universo_Gofa/universo/Virtual Controllers/CRB15000_5_95/internal/prodinfo.xml has been created, status = 0. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1342	GetProdsAndFeaturesFromCtrlrsfFile(), file path = 'C:/Users/grazianige/Documents/GitHub/universo/Universo_Gofa/universo/Virtual Controllers/CRB15000_5_95/internal/controller.rsf'. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1386	GetProdsAndFeaturesFromCtrlrsfFile(), got 3 products. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1452	GetProdsAndFeaturesFromCtrlrsfFile(), got 10 features for product 'RobotControl'. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1452	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'RobotOS'. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1452	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'Robots'. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 849	[INFO] Update prodinfo.xml. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 969	[INFO] File C:/Users/grazianige/Documents/GitHub/universo/Universo_Gofa/universo/Virtual Controllers/CRB15000_5_95/internal/prodinfo.xml has been created, status = 0. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1342	GetProdsAndFeaturesFromCtrlrsfFile(), file path = 'C:/Users/grazianige/Documents/GitHub/universo/Universo_Gofa/universo/Virtual Controllers/CRB15000_5_95/internal/controller.rsf'. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1386	GetProdsAndFeaturesFromCtrlrsfFile(), got 3 products. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1452	GetProdsAndFeaturesFromCtrlrsfFile(), got 10 features for product 'RobotControl'. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1452	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'RobotOS'. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1452	GetProdsAndFeaturesFromCtrlrsfFile(), got 1 features for product 'Robots'. 
